TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
751306,1118 W Washington Blvd,41.88335,-87.65512,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,8,0,2,FALSE,11549392000
248401,1119 N CLARK ST,41.9024187,-87.631378,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,3,FALSE,11546754000
223413,112 E CHESTNUT ST,41.8983775,-87.6252194,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,1,FALSE,11549815000
751310,112 N Carpenter St,41.8835555,-87.6532675,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,6,0,2,FALSE,11548423000
751314,112 N May St,41.88366,-87.65591,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,8,0,2,FALSE,11549423000
222416,112 W CHICAGO AVE,41.8966501,-87.6319409,938013007,"$4.75, Mon-Sun 8 AM-11:59 PM, 3 hr POS RH1: Mon-Fri 7 AM-9:30 AM, RH2: Mon-Fri 4 PM-6 PM",4.75,3,7,0,3,FALSE,11546103000
238403,112 W GRAND AVE,41.8916382,-87.6318039,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,5,0,2,FALSE,11546539000
230401,112 W KINZIE ST,41.8892147,-87.631714,511011007,"$4.75, Mon-Sun 8 AM-11 PM, 2 hr POS RH1: Mon-Fri 7 AM-9 AM, RH2: Mon-Fri 4 PM-6 PM",4.75,2,8,0,1,FALSE,11546143000
254401,112 W NORTH AVE,41.9111675,-87.6322055,431004007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS, RH2: Mon-Fri 4 PM-6 PM",4.75,3,3,0,1,FALSE,11547514000
236404,112 W SUPERIOR ST,41.8956473,-87.6320828,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,3,FALSE,11546513000
408603,11210 S MICHIGAN AVE,41.6903753,-87.6210267,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,11,0,3,FALSE,11547432000
408606,11219 S MICHIGAN AVE,41.6901725,-87.6209885,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,10,0,3,FALSE,11547435000
465109,1122 W WILSON AVE,41.9654191,-87.65858,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,5,0,3,FALSE,11548107000
